# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Sat, 05 Sep 2026 06:52:29 +0000
# Count: 31352
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
2.57.121.120,8,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,abuseipdb|blocklist_de|cins_army|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_aa
2.57.122.53,13,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|greensnow|ipsum|romainmarcoux_outgoing_aa
2.57.122.96,3,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_net_strongips|ipsum
2.57.122.98,5,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_aa
2.57.122.150,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.57.122.168,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.57.122.177,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.122.188,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum|romainmarcoux_outgoing_aa
2.57.122.189,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.190,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.191,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.192,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.193,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.194,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum|romainmarcoux_outgoing_aa
2.57.122.195,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.196,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.197,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.199,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.122.206,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.57.122.208,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum
2.57.122.209,8,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|blocklist_net_strongips|ipsum|romainmarcoux_outgoing_aa
2.57.122.210,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.122.238,10,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_aa
2.57.217.229,7,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|custom|firehol_level2|ipsum
2.58.46.146,4,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
2.58.229.99,2,MEDIUM,Brute-Force|Exploit,2026-09-05,2026-09-05,blocklist_de|blocklist_de_apache
2.59.163.225,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.59.170.14,6,HIGH,Brute-Force|Exploit,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|firehol_level2|greensnow|ipsum
2.63.211.145,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.82.222.57,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.87.21.58,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.89.131.199,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.90.144.165,5,HIGH,Botnet|Brute-Force|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_net_bots|ipsum|romainmarcoux_outgoing_aa
2.134.15.12,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.134.141.200,6,HIGH,Brute-Force|Malicious|Spam,2026-09-04,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.136.153.75,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.136.165.146,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.136.236.152,3,HIGH,Brute-Force,2026-09-02,2026-09-05,greensnow|ipsum
2.178.197.84,4,HIGH,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail|ipsum
2.179.187.110,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.179.194.21,5,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_aa
2.179.194.193,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.180.6.8,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.180.7.125,5,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_aa
2.180.11.118,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.180.15.240,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.180.32.104,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.180.35.173,5,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|ipsum|romainmarcoux_outgoing_aa
2.180.36.41,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.184.61.196,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.184.237.250,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.189.128.6,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum
2.189.130.80,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.192.131.40,5,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|ipsum
2.192.132.212,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.211.212.232,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.249.150.53,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum
3.25.92.214,2,MEDIUM,Brute-Force|Spam,2026-09-05,2026-09-05,blocklist_de|blocklist_de_mail
